departure_time,origin_station_id,origin_name,origin_lat,origin_lon,dest_station_id,dest_name,dest_lat,dest_lon,distance_meters,duration_seconds,duration_minutes,duration_in_traffic_seconds,duration_in_traffic_minutes,status
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8504622,"Fribourg, Bellevue",46.81092671540513,7.171932726075358,111,16,0.27,18,0.3,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8589271,"Fribourg, Schönberg Dunant",46.80542535842347,7.178406780411913,1370,211,3.52,228,3.8,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8592375,"Fribourg, Guintzet",46.80549,7.140123,4639,635,10.58,653,10.88,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8592378,"Villars-sur-Glâne,Jean Paul II",46.803893,7.137545,4867,724,12.07,700,11.67,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8592377,"Villars-sur-Glâne, Hôp. cant.",46.801851,7.13667,8188,676,11.27,690,11.5,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8591767,"Fribourg, Route-de-Tavel",46.811223,7.172643,145,21,0.35,24,0.4,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8589270,"Fribourg, Kessler",46.812081,7.173246,251,41,0.68,49,0.82,OK
2026-02-12 15:00:00,8591766,"Fribourg, Boschung",46.811451,7.171016,8589147,"Fribourg, Ploetscha",46.813063,7.173218,360,54,0.9,64,1.07,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8577786,"Villars-sur-Glâne,Villars-Vert",46.798991,7.131395,2704,538,8.97,554,9.23,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8577785,"Fribourg, Bertigny",46.8013,7.138046,2679,533,8.88,544,9.07,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8504622,"Fribourg, Bellevue",46.81092671540513,7.171932726075358,2886,336,5.6,364,6.07,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8589271,"Fribourg, Schönberg Dunant",46.80542535842347,7.178406780411913,4144,531,8.85,560,9.33,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8592375,"Fribourg, Guintzet",46.80549,7.140123,2442,476,7.93,447,7.45,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8592378,"Villars-sur-Glâne,Jean Paul II",46.803893,7.137545,2670,565,9.42,486,8.1,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8592377,"Villars-sur-Glâne, Hôp. cant.",46.801851,7.13667,2908,567,9.45,566,9.43,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8591767,"Fribourg, Route-de-Tavel",46.811223,7.172643,2920,341,5.68,369,6.15,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8589270,"Fribourg, Kessler",46.812081,7.173246,3026,361,6.02,389,6.48,OK
2026-02-12 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.80609,7.161261,8589147,"Fribourg, Ploetscha",46.813063,7.173218,3135,374,6.23,402,6.7,OK
