bus_id,decision_interval,step_sequence,logical_node,action,horizon_status,location,arrival_time,pax_exchange,passenger_load
15,10,1,9,Pickup,Executed,8587238,3.0,3,0
15,10,2,28,Dropoff,Executed,8592377,11.57,-3,3
15,10,3,2,Pickup,Executed,8592377,19.43,3,0
15,10,4,21,Dropoff,Planned,8577820,26.39,-3,3
15,10,5,75,End,Planned,0,27.0,0,0
15,20,0,55,Start,Executed,8592377,0.0,0,5
15,20,1,11,Pickup,Executed,8592377,21.08,3,5
15,20,2,31,Dropoff,Executed,8577820,28.0,-3,8
15,20,3,77,End,Planned,0,29.0,0,5
15,30,0,49,Start,Executed,8577820,0.0,0,0
15,30,1,71,End,Planned,0,346.0,0,0
15,40,0,51,Start,Executed,8577820,0.0,0,0
15,40,1,73,End,Planned,0,416.0,0,0
15,50,0,53,Start,Executed,8577820,0.0,0,0
15,50,1,0,Pickup,Planned,8577820,62.08,8,0
15,50,2,19,Dropoff,Planned,8589271,72.35,-8,8
15,50,3,75,End,Planned,0,73.0,0,0
15,60,0,59,Start,Executed,8577820,0.0,0,0
15,60,1,11,Pickup,Executed,8577820,57.0,8,0
15,60,2,33,Dropoff,Executed,8589271,67.12,-8,8
15,60,3,8,Pickup,Executed,8589271,67.16,3,0
15,60,4,30,Dropoff,Planned,8589161,78.86,-3,3
15,60,5,81,End,Planned,0,79.0,0,0
16,0,0,40,Start,Executed,8588351,0.0,0,0
16,0,1,0,Pickup,Executed,8589154,5.33,2,0
16,0,2,3,Pickup,Executed,8589155,7.77,4,2
16,0,3,12,Dropoff,Planned,8577786,14.81,-2,6
16,0,4,15,Dropoff,Planned,8587238,19.74,-4,4
16,0,5,62,End,Planned,0,20.0,0,0
16,10,0,54,Start,Executed,8589155,0.0,0,0
16,10,1,11,Pickup,Executed,8589155,8.0,4,0
16,10,2,8,Pickup,Executed,8589155,8.0,2,4
16,10,3,27,Dropoff,Executed,8577786,14.77,-2,6
16,10,4,30,Dropoff,Executed,8587238,19.02,-4,4
16,10,5,76,End,Planned,0,20.0,0,0
16,20,0,56,Start,Executed,8587238,0.0,0,5
16,20,1,78,End,Planned,0,700.0,0,5
16,30,0,50,Start,Executed,8587238,0.0,0,0
16,30,1,72,End,Planned,0,383.0,0,0
16,40,0,52,Start,Executed,8587238,0.0,0,0
16,40,1,74,End,Planned,0,410.0,0,0
16,50,0,54,Start,Executed,8587238,0.0,0,0
16,50,1,76,End,Planned,0,381.0,0,0
16,60,0,60,Start,Executed,8587238,0.0,0,0
16,60,1,2,Pickup,Executed,8587238,40.0,2,0
16,60,2,24,Dropoff,Planned,8577786,78.44,-2,2
16,60,3,82,End,Planned,0,79.0,0,0
17,0,0,41,Start,Executed,8504622,0.0,0,0
17,0,1,63,End,Planned,0,0.0,0,0
17,10,0,55,Start,Executed,8504622,0.0,0,0
17,10,1,6,Pickup,Executed,8589152,16.68,7,0
17,10,2,25,Dropoff,Planned,8592377,30.14,-7,7
17,10,3,77,End,Planned,0,31.0,0,0
17,20,0,57,Start,Executed,8589152,0.0,0,0
17,20,1,15,Pickup,Executed,8589152,10.0,7,0
17,20,2,35,Dropoff,Executed,8592377,23.48,-7,7
17,20,3,6,Pickup,Executed,8577785,25.47,5,0
17,20,4,0,Pickup,Executed,8577786,27.75,5,5
17,20,5,26,Dropoff,Planned,8588858,33.79,-5,10
17,20,6,20,Dropoff,Planned,8577741,35.93,-5,5
17,20,7,79,End,Planned,0,36.0,0,0
17,30,0,51,Start,Executed,8577786,0.0,0,0
17,30,1,7,Pickup,Executed,8577786,24.86,5,0
17,30,2,12,Pickup,Executed,8577786,24.86,5,5
17,30,3,29,Dropoff,Executed,8588858,30.86,-5,10
17,30,4,24,Dropoff,Executed,8577741,33.0,-5,5
17,30,5,73,End,Planned,0,34.0,0,0
17,40,0,53,Start,Executed,8577741,0.0,0,0
17,40,1,5,Pickup,Planned,8577741,55.21,3,0
17,40,2,23,Dropoff,Planned,8592378,65.75,-3,3
17,40,3,75,End,Planned,0,66.0,0,0
17,50,0,55,Start,Executed,8577741,0.0,0,4
17,50,1,11,Pickup,Executed,8577741,55.25,3,4
17,50,2,30,Dropoff,Planned,8592378,65.75,-3,7
17,50,3,77,End,Planned,0,66.0,0,4
17,60,0,61,Start,Executed,8577741,0.0,0,0
17,60,1,18,Pickup,Executed,8577741,50.0,3,0
17,60,2,40,Dropoff,Executed,8592378,61.87,-3,3
17,60,3,1,Pickup,Executed,8577785,70.0,6,0
17,60,4,5,Pickup,Planned,8577786,72.94,6,6
17,60,5,27,Dropoff,Planned,8588351,79.2,-6,12
