time,event_type,description
11785.242133907359,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11867.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68106.0 completed route, served 9 passengers"
11894.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
11963.472393391441,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12019.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66417.0 completed route, served 48 passengers"
12060.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68105.0 completed route, served 4 passengers"
12082.42563183879,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12131.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62638.0 completed route, served 26 passengers"
12135.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12144.163952712934,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12149.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62665.0 completed route, served 35 passengers"
12304.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62644.0 completed route, served 36 passengers"
12304.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12313.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62671.0 completed route, served 37 passengers"
12444.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12497.822756162412,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12534.86330390179,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
12693.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62685.0 completed route, served 1 passengers"
12769.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68108.0 completed route, served 13 passengers"
12915.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62652.0 completed route, served 36 passengers"
12976.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66425.0 completed route, served 48 passengers"
13002.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68107.0 completed route, served 14 passengers"
13269.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62683.0 completed route, served 69 passengers"
13389.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66422.0 completed route, served 33 passengers"
13457.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62656.0 completed route, served 43 passengers"
13636.583134860814,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
13750.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68110.0 completed route, served 12 passengers"
13794.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68109.0 completed route, served 4 passengers"
13858.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66433.0 completed route, served 41 passengers"
13928.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66430.0 completed route, served 24 passengers"
13947.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62664.0 completed route, served 46 passengers"
13966.875347227646,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14065.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62693.0 completed route, served 68 passengers"
14065.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14138.104634194393,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14169.705597073213,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
14363.44482317022,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14383.39162284365,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14442.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62676.0 completed route, served 30 passengers"
14532.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62701.0 completed route, served 54 passengers"
14542.346576975406,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14544.033014742428,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14565.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68112.0 completed route, served 5 passengers"
14565.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14610.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14622.764778950577,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14639.776455668358,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
14682.872598691629,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14693.275406849873,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14700.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14730.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68111.0 completed route, served 14 passengers"
14752.905850160647,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14757.015537033776,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14792.442890450371,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
14865.930580026457,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
